F S   UID     PID    PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
0 S  1000   86585    1343  0  80   0 - 114789 do_pol ?       00:00:03 gsd-rfkill
0 S  1000   86586    1343  0  80   0 - 59398 do_pol ?        00:00:00 gsd-screensaver
0 S  1000   86587    1343  0  80   0 - 116844 do_pol ?       00:01:07 gsd-sharing
0 S  1000   86588    1343  0  80   0 - 96834 do_pol ?        00:00:00 gsd-smartcard
0 S  1000   86590    1343  0  80   0 - 80161 do_pol ?        00:00:00 gsd-sound
0 S  1000   86592    1343  0  80   0 - 85968 do_pol ?        00:00:00 gsd-wacom
0 S  1000   86594    1343  0  80   0 - 104602 do_pol ?       00:00:00 gsd-xsettings
0 S  1000   86616   86569  0  80   0 - 59653 do_pol ?        00:00:00 ibus-dconf
0 S  1000   86617   86569  0  80   0 - 87089 do_pol ?        00:00:00 ibus-extension-
0 S  1000   86624    1343  0  80   0 - 67501 do_pol ?        00:00:00 ibus-x11
0 S  1000   86626    1343  0  80   0 - 59641 do_pol ?        00:00:00 ibus-portal
0 S  1000   86642   86382  0  80   0 - 202683 do_pol ?       00:00:06 evolution-alarm
0 S  1000   86653   86382  0  80   0 - 58065 do_pol ?        00:00:00 gsd-disk-utilit
4 S  1000   86713    1343  0  80   0 - 427415 do_pol ?       00:06:05 snap-store
0 S  1000   86834    1343  0  80   0 - 733144 do_pol ?       00:00:00 gjs
0 S  1000   86846   86569  0  80   0 - 41196 do_pol ?        00:00:00 ibus-engine-sim
0 S  1000   86858    1343  0  80   0 - 85916 do_pol ?        00:00:00 gsd-printer
0 S  1000   86859    1343  0  99   - - 195555 do_pol ?       00:00:14 tracker-miner-f
0 S  1000   86873    1343  0  80   0 - 104292 do_pol ?       00:00:00 xdg-desktop-por
0 S  1000   86936   86405  0  80   0 - 797633 do_pol ?       00:02:40 gjs
0 S  1000   86956    1343  0  80   0 - 41079 do_pol ?        00:00:00 gvfsd-metadata
0 S  1000   87440   86382  0  80   0 - 204710 do_pol ?       00:02:07 update-notifier
0 S  1000   97715   17855  0  80   0 -  3741 do_sel pts/4    03:00:44 top
0 S  1000  105209    1343  0  90  10 - 253675 do_pol ?       00:05:44 update-manager
0 S  1000  134515    1343  0  80   0 - 317261 do_pol ?       00:00:14 nautilus
0 S  1000  134550    1343  0  80   0 - 257667 do_pol ?       00:00:00 gedit
1 I     0  257187       2  0  60 -20 -     0 -      ?        00:00:00 xfsalloc
1 I     0  257188       2  0  60 -20 -     0 -      ?        00:00:00 xfs_mru_cache
1 S     0  257192       2  0  80   0 -     0 -      ?        00:00:00 jfsIO
1 S     0  257193       2  0  80   0 -     0 -      ?        00:00:00 jfsCommit
1 S     0  257194       2  0  80   0 -     0 -      ?        00:00:00 jfsCommit
1 S     0  257195       2  0  80   0 -     0 -      ?        00:00:00 jfsCommit
1 S     0  257196       2  0  80   0 -     0 -      ?        00:00:00 jfsCommit
1 S     0  257197       2  0  80   0 -     0 -      ?        00:00:00 jfsCommit
1 S     0  257198       2  0  80   0 -     0 -      ?        00:00:00 jfsCommit
1 S     0  257199       2  0  80   0 -     0 -      ?        00:00:00 jfsCommit
1 S     0  257200       2  0  80   0 -     0 -      ?        00:00:00 jfsCommit
1 S     0  257201       2  0  80   0 -     0 -      ?        00:00:00 jfsSync
4 S     0  694022       1  0  80   0 - 403546 -     ?        00:05:53 snapd
0 S  1000 1930514   17769  0  80   0 -  3185 do_wai pts/11   00:00:00 bash
4 S     0 3207537    3989  0  80   0 - 305641 -     ?        00:00:00 docker-proxy
4 S     0 3207544    3989  0  80   0 - 305577 -     ?        00:00:00 docker-proxy
0 S     0 3207560       1  0  80   0 - 177725 -     ?        00:00:41 containerd-shim
4 S   999 3207579 3207560  0  80   0 - 318612 -     ?        00:02:03 mariadbd
0 S  1000 3208244 1930514  0  80   0 - 447797 futex_ pts/11  00:01:01 docker
4 S     0 3208265 3207560  0  80   0 -  1156 -      pts/0    00:00:00 bash
0 S     0 3208615 3208265  0  80   0 -  4200 -      pts/0    00:00:00 mysql
0 S  1000 3273157   17769  0  80   0 -  3185 do_sel pts/12   00:00:00 bash
0 S  1000 3347421   17769  0  80   0 -  3185 do_sel pts/15   00:00:00 bash
4 S     0 3409965    1047  0  80   0 -  4369 -      ?        00:00:00 sshd
5 S  1000 3410045 3409965  0  80   0 -  4402 -      ?        00:00:01 sshd
0 S  1000 3410047 3410045  0  80   0 -  3211 do_sel pts/10   00:00:00 bash
1 I     0 3793455       2  0  80   0 -     0 -      ?        00:00:01 kworker/2:0-events
1 I     0 3818858       2  0  80   0 -     0 -      ?        00:00:01 kworker/1:0-events
1 I     0 3820722       2  0  80   0 -     0 -      ?        00:00:01 kworker/0:0-mm_percpu_wq
4 S     0 3826808       1  0  80   0 - 19018 -      ?        00:00:00 cupsd
4 S     0 3826812       1  0  80   0 - 46171 -      ?        00:00:02 cups-browsed
4 S     7 3826923 3826808  0  80   0 -  4071 -      ?        00:00:00 dbus
4 S     7 3826924 3826808  0  80   0 -  4071 -      ?        00:00:00 dbus
1 I     0 3833695       2  0  80   0 -     0 -      ?        00:00:00 kworker/1:2-cgroup_destroy
1 I     0 3833713       2  0  80   0 -     0 -      ?        00:00:01 kworker/3:0-events
1 I     0 3834011       2  0  80   0 -     0 -      ?        00:00:00 kworker/4:2-mm_percpu_wq
1 I     0 3834633       2  0  80   0 -     0 -      ?        00:00:00 kworker/3:2
1 I     0 3835292       2  0  80   0 -     0 -      ?        00:00:00 kworker/5:3-events
1 I     0 3835674       2  0  80   0 -     0 -      ?        00:00:00 kworker/0:2-cgroup_destroy
